,text,category,1,2,3,4,5
0,-La semana pasada mi hijo hizo un triple salto mortal desde 20 metros de altura - ¿Es trapecista? -Era :(,1,1,1,0,0,1
1,"-Yo ya voy por mi segundo millón de dólares... -¿!Ah, si!? -Es que el primero nunca lo hice... ",0,1,0,0,0,0
2,-Ayer fue mi cumpleaños y no me felicitaste - ¡FéÉLíCÍDáÁDÉéS! - ¿Qué haces? -Felicitarte con retraso.,1,1,1,1,0,1
3,"No es flojera, es un estado de ahorro de energía corporal :)",1,1,1,0,0,0
4,- ¿Cómo te fue en matemática? -Vos sabes que soy muy pacífica - ¿Y eso qué tiene que ver? -No me gustan los problemas jajaja -Castigada - :(,0,0,0,1,0,0
5,"-Compadre, su hija antes me daba como por las rodillas, ahora me da hasta las nalgas! ",1,1,0,0,1,0
6,Había una vez una tortuguita que fue a su primer día de clases y cuando llegó… ¡Ya estaban de vacaciones!,1,2,1,0,0,0
7,"Una novia que sea tan delicada como Neymar, eso es lo que quiero.",0,0,0,0,1,0
8,¿Qué le dice el Nesquik a la leche? ¡Te voy a echar un polvo que te va a cambiar el color!  ,1,1,0,0,1,0
9,"Si oscar se queda me pego un tiro con un banano, a vd y apago el tv xD (Mateo)",0,1,1,0,1,0
10,"- ¿Cual es tu nombre? -Pikachu Rodríguez, ¿y el tuyo? -Pablo - ¡No me jodas! ¿Como el de los picapiedras?",1,0,1,0,2,0
11,"Encerrarse a llorar en silencio, respirar, lavarse la cara, salir y poner esa sonrisa de ""Todo está perfecto, no me pasa NADA!"".",0,0,0,0,0,0
12,¿Cuál es la diferencia entre cualquier adolescente y E.T.?  Que E.T. llamaba a la casa... by @hadacon ,1,1,0,0,0,1
13,"Llegada inoportuna de gente a tu casa, que te obliga a vestirte...",0,0,0,0,0,0
14,A mí también la ropa me habla y me dice: ¡COOOMPRAME!,0,0,1,0,1,0
15,"La vida es corta... sonríele a quien llora, ignora a quien te critica y sé feliz con quien te importa.",0,0,0,0,0,0
16,"-Por vos iría hasta el fin del mundo -Ayyy ♥ ¿en serio? -Sí, con tal de alejarme de vos, ¡feo!",1,0,1,0,2,0
17,"Hay cosas que no se deberían romper jamás: Las promesas, los corazones, los condones.",1,2,0,1,0,1
18,RT @TodoReflexion: Los bosques serían demasiado silenciosos si cantaran sólo los pájaros que mejor lo hacen,0,0,0,0,0,0
19,"—Mamá, mi novia me mandó a la mierda. :( 
—Ponte suéter o no vas.",1,2,0,0,0,0
20,"Una madre a su hija: -Es tan desagradable tu último novio, ¡que seré su suegra con verdadero placer!  ",1,1,1,1,0,0
21,"Si no eres mala influencia, fracasaste como mejor amigo.",1,0,1,1,0,1
22,"Un amigo viene a tiempo, los demás, cuando tienen tiempo.",0,1,0,0,0,0
23,"- ¿Qué haces en tu tiempo libre? -Soy asesina en serie - ¿En serio? -No, en serie.",1,0,0,1,2,1
24,@coketaboada Jajajaja lolazo.,0,0,1,0,0,0
25,RT @TipsKids: Modales en la mesa: Plantéate qué modales para la mesa son más importantes para ti y lo que quieres que tus hijos aprendan y …,0,0,0,0,0,0
26,"RT @AnaBuilesC: ""Mateo al 6565"" ya se cagaron la hpta noche con este hpta HT de veras que ustedes valen mnd!!! Partidaas de brutos!",0,0,0,0,0,0
27,"A mi también me dijeron ""te debo el regalo"" y todavía lo estoy esperando",0,0,0,1,0,0
28,Las mujeres tienen 6 sentidos:    -Tacto.   -Gusto.   -Olfato.   -Oído.   -Vista.   -Detector de zorras.,1,1,1,0,0,0
29,"TÍPICO: Te pones los audífonos, te hablan, y tu solo sonríes y dices que ""si""",0,0,0,0,0,0
30,Mi padre es un viejo verde. (El increíble Hulk)  ,1,0,1,0,1,0
31,"El TT' Original era: The Beatles Nuestros Idolos, Algunos metiron mal el dedo y escribieron: Wisin y Yandel Nuestros Idolos (HP Regayton).",0,1,0,0,0,1
32,A mi no me asustan tipos lenguas largas... (Atte. El Clitoris) by @tokesitodeldia ,1,0,0,1,1,0
33,"Y a ti ¿qué te parece lo del sexo por teléfono? -Una vez lo intenté, pero los agujeros del micrófono eran demasiado pequeños. by @pipe0405",1,1,0,1,0,1
34,"-Papá, ¿me das $100? 
- ¿QUE? ¿Qué te de $50? ¿Para qué queres $30 si con $20 es suficiente? Toma $10 y dale $5 a tu hermano.",1,0,0,2,0,1
35,"— Oye, ¿cómo se escribe nariz en inglés? — NOSE — ¿Tú tampoco?. Mierda, nadie lo sabe...",1,1,0,1,1,0
36,"El día que nosotros gobernemos, todos temblarán. (Un epiléptico)   ",1,1,0,0,0,1
37,"El vodka es como el agua, pero con superpoderes.",1,1,0,1,0,1
38,Nunca es tarde para seguir durmiendo,1,1,0,1,1,0
39,La mayoría de los hombres joden demasiado hasta lograr un «SI » y luego no saben qué hacer con él.,1,0,1,1,0,0
40,Perdida inmediata de la dignidad al intentar subir un escalón invisible,1,1,0,2,0,2
41,"TE CONQUISTARIA, pero no soy Cristóbal colon :(",1,0,0,0,2,0
42,"El optimista piensa que este es el mejor de los mundos posibles, y el pesimista teme que eso sea verdad.  ",0,0,0,0,0,0
43,Dicen que la tele engorda... ¡por eso no como tele!  by @leoidair  ,1,2,1,0,0,0
44,"—Oye, ¿me prestas tu baño? —Si ¿Necesitas papel higiénico? —No te preocupes, solo me quiero tomar unas fotos para mi perfil. ",1,1,0,1,0,1
45, ¿QHèEé TíèEënêé èLLáà QèEë nóHOò tènNGgàä yHOóòò?  La primaria terminada.,1,1,0,1,0,0
46,- ¿Y el novio hija? - ¿Y los dientes abuela?,1,0,3,2,0,2
47,"—Hola perra, ¿Cómo estás?  —¡No me digas así! *Le da una cachetada*   —Oh que fuerza, debe ser por .",1,0,0,0,2,1
48,"Escuchar a alguien hablar y pensar: ""deja de mentir"".",0,2,0,1,0,0
49,Hoy comer mole... Y mañana hacer pescado... Pescado del toallero... by @nutri_mona  ,0,0,0,0,0,0
50,ABURRIDORA: Persona que habla cuando queremos que escuche. -Ambrose Bierce  ,0,0,0,0,0,0
51,Errar es de humanos dijo el pato y se bajó de la gallina. Perdonar es divino dijo la gallina y salió corriendo detrás del pato. ,1,2,0,0,1,0
52,La capacidad que tengo para molestar cuando me aburro es impresionante,0,0,1,0,0,0
53,"RT @MuyCuriosoES: Microsoft gasta más atendiendo llamadas de sus usuarios con problemas, que produciendo sus programas.",0,0,0,0,0,0
54,"Aunque ustedes no lo crean, se necesita ser muy inteligente para escribir tanta pendejada. O_o",0,0,0,0,1,0
55,Yo también acabo riéndome cuando intento hacerme el dormido.,1,0,0,1,0,1
56,"Los hombres son excelentes cocineros. Con 2 huevos, 1 salchicha y un poco de leche, llenan la panza de una mujer por 9 meses by @edwinxs",1,2,0,0,1,0
57,Típico : Leer el mismo mensajes miles de veces y aun no saber que contestar.,0,0,0,0,0,0
58,"De niños todos éramos amigos, hasta que llegaba la hora de la piñata.",0,1,1,2,0,0
59,—Antes de fusilarlo ¿quiere decir algo? —Sí. Algo ¡JAJAJÁ! —¿Divertido? —Vertido ¡JAJAJAJAJÁ! —¡DISPAREEEN! —¡SPAREEEN! ¡JAJAJAJAJAJÁ!,1,1,0,1,1,0
60,"No estoy en contra de que haya mujeres feas, pero ¿por qué todas viven en esta cuidad?   ",1,1,0,0,1,0
61,Típico: Ir por la calle y sonreirle a un recuerdo que se cruzó por tu mente.,0,1,0,0,0,0
62,"—¿Eres un Pokémon? —No, ¿por qué? —Pokéstasmuybuena —¿Eres soltero y virgen, verdad? —Y maestro Pokémon también.",1,1,1,0,2,0
63,"—¿Te pusieron brackets? —NOOO PENDEJO, vino MTV y me enchulo la boca. JaaJaa",1,1,0,2,0,1
64,Típico: Salir de casa sin peinarte y sonreír porque sabes que igual eres guapo.,0,1,1,0,0,0
65,"- ¿Cómo van los estudios? - ¿Podemos hablar de otra cosa? -Ok, ¿y el novio? -Bueno los profesores no son muy buenos que digamos…",1,1,2,0,0,1
66,"Tras revisar al esposo, el Dr dice a la mujer: -El aspecto de su marido no me gusta -A mi tampoco pero es bueno con mis hijos!",1,0,1,1,1,1
67,Todos los días me levanto con más sueño que cuando me fui a dormir,1,2,1,0,0,0
68,"Si el físico no importa, ¿Por que tomaron enserio a Newton?",1,0,1,1,1,0
69,"-Hola, ¿con la fabrica de fieles? -Si -Hagan más, porque ya quedamos pocos",1,2,1,1,1,0
70,—¿No te cansas de dormir? —Ni que durmiera corriendo.,1,1,2,2,1,1
71,Típico: Te levantas de noche para ir al baño y corres lo más veloz que puedes para que el fantasma no te alcance :(,1,0,2,0,0,1
72,"Colombia, No voten por pesar, o por que los haga reir, Voten Por que su conciencia lo diga, Mateo Tiene talento por favor Oscar a el 6565",0,0,0,0,0,0
73,—Tengo frío. —Pero si es verano. —Pero hace frío... —Pero si hace 40 grados. —¡ABRÁZAME IDIOTA!,1,2,1,0,1,3
74,¿Alcohólico yo? JAJAJAJAJA ¡Para nada! Cada año solo bebo en 2 ocasiones: Cuando es mi cumpleaños y cuando no lo es.,1,0,2,1,2,0
75,"Oye, hija, ¿Trabajas en Monsters Inc.? No Mamá, ¿Por qué? ¿Y ese monstruo? ¡Mamá!, deja en paz a mi novio.  ¡33:12! ¡Tenemos un 33:12!.",1,0,0,2,1,0
76,"Nueva promoción de Microsoft: Con tu Windows 7, de regalo 3 botones de RESET de repuesto.  ",1,0,1,1,0,0
77,¡Nada es imposible! ¿No han visto como Bob Esponja hace una fogata bajo el agua?,0,0,0,0,1,0
78,El amor es el único deporte que no se suspende por falta de luz... ,0,0,0,1,0,0
79,"Típico: Mi profesora siempre decía: ""ese grupito de allá atrás se me separa""",0,0,0,1,0,0
80,"-Como te llamas? -Anastasia, y me dicen Ana, tu? -Catalina, y me dicen Cata, y tu? -Penélope, pero no tengo apodo! by @DuendeUrbano",1,0,0,1,1,1
81,"Si en las cajas de cigarrillos en vez de fotos de muertos pusieran: ""Estás ayudando al gobierno con $5"", todos dejarían de fumar.",0,0,0,0,1,0
82, La gente se detenga a saludarme.,0,0,0,0,0,0
83,"Voy a estudiar, Oh una mosca Voy a estudiar, Tengo un WhatsApp Voy a estudiar, Primero me baño Voy a estudiar, pff ya es tarde, mañana",0,1,0,1,1,0
84,"Un pistolero enojado dice a otro: -Oye, que tu andas diciendo que nosotros nos besamos? -No -Entonces nos vieron! by @rodrydi ",1,0,1,0,1,1
85,"-Me vuelves a decir gorda y te dejo -No, mi amor, piensa en el bebé -¿Cual bebé? -Ah, ¿No estás embarazada?",1,0,1,1,1,0
86,"Entrevista de trabajo: -¿Cúanto voy a cobrar? -Por ahora 200 y más adelante 700 -Bueno, pues volveré más adelante. ",1,0,1,0,1,2
87,"-Oye, ¿a ti te ayudan a sentarte? -No, me siento sola -¡LO SABÍA! Sabía que aún me extrañabas.",1,0,0,0,1,2
88,Un buen amigo es el que te da consejos durante horas sabiendo que no los vas a seguir.,0,0,0,0,1,0
89,"-Hola, ¿cómo te llamas? -María de los Ángeles, ¿y vos? -Pedro de New York",1,2,0,1,0,0
90,"-Te amo -Tranquila, ya se te va a pasar…",1,1,0,0,1,0
91,La verdadera siesta es cuando te levantas y no te acordas ni del nombre de tu mamá,0,0,0,0,0,0
92,"Escuchar los pasos de tu mamá, bloquear el celular y hacerte el dormido.",0,0,0,0,0,0
93,RT @ceramicascaribe: En  sabemos que quieres darle el mejor hogar posible a tu familia y nosotros queremos que lo tengas,0,0,0,0,0,0
94,"-Mami, ¿hay gelatinaa? -No hija, solo hay i latina e y griega... by @Jkay282  ",1,2,0,1,0,0
95,"Admítelo, tu también dijiste: ""Mamá, si me compras esto, nunca mas te vuelvo a pedir nada""",0,0,0,0,0,1
96,"-Hola, perdón por el retraso -No te preocupes, sé que naciste así. ¿Pero por qué llegaste tarde?",1,0,0,0,1,2
97,"Los débiles toman venganza, los fuertes perdonan, pero los más inteligentes simplemente ignoran. BUEN DIA",0,1,0,0,0,0
98,"Mi viejo me dice ""tráeme rápido el coso que está en el coso"" y yo no entiendo y corro en círculos persiguiéndome la cola.",1,1,0,0,0,1
99,"- ¿Qué estas tomando? -Agua, mamá -A ver... Esto no es agua, es vino - ¡ALABADO SEA EL SEÑOR!",1,1,0,0,1,2
100,"Típico : Contestar ""¿Qué?"" para tener tiempo de pensar una respuesta creíble.",1,0,1,1,0,0
101,"Si amas a alguien, drógalo con cloroformo y átalo en tu cama. Si se queda, es tuyo; si logra huir, dispárale mientras corre.",1,0,2,0,1,0
102,Esperar que un famoso te dé reply en Twitter es tan difícil como pedir un autógrafo a la salida de un concierto. ,1,2,0,0,0,0
103,"- ¡Ayuda, se perdió mi hija! - ¿Cómo se llama? -Esperanza - ¡IMPOSIBLE! La esperanza es lo último que se pierde.",1,2,0,0,0,1
104,"Un matrimonio se reune en el cielo: -Querido, qué bueno encontrarte -Querido nada, era hasta que la muerte los separe! by @JoViRosHer",1,0,0,0,2,0
105,"-911, ¿cuál es su emergencia? -Sígame la corriente, es que está pasando mi ex a mi lado... JAJAJA SÍ ¡YO TAMBIÉN TE AMO AMOR!",1,1,2,1,0,1
106,"2 amigas sentadas en el parque: -Ana, aquel tipo te está viendo las pantaletas -Será a ti porque yo no traigo! ",1,0,1,2,0,0
107,"Subir las escaleras a oscuras, dar un paso con un escalón imaginario y casi matarte :(",0,0,0,0,0,0
108,Ir al cine y comerse todo antes de que comience la película.,0,0,0,0,0,0
109,"Las zorras presumen tener a muchos hombres tras de ellas, es obvio pues todo lo que esta en oferta y barato siempre atrae muchos clientes.",1,1,0,1,0,0
110,"El Profesor dice ""Grupos de 3"" y siempre sale uno a decir: ¿Se puede uno de 4 profesor?.",1,1,1,0,1,1
111,RT @MichelPesquera: Quién anda en Vancouver. .. me siento solo por acá,0,1,0,0,0,0
112,Limpiar tu cuarto: 1% limpieza. 30% quejarse. 69% jugar con lo que vas encontrando.,0,0,2,1,1,0
113,"-Puedo hablar con los animales - ¿En serio? ¿Qué te dicen? -No sé, no los entiendo.",1,0,0,3,0,0
114,"Amistad nivel: Con tan sólo mirarse, saber de quien se están burlando.",0,0,0,0,1,0
115,Con los años mi Juan se ha vuelto en una fiera en la cama -¿Te hace el amor salvajemente? -No... se mea para marcar su territorio,1,0,1,0,1,1
116,"-Papá, el entrenador me dijo que conmigo el gol era seguro! -Qué bueno hijo! -Ni tanto, soy el portero... ",1,0,1,2,0,0
117,Había un niño tan feo pero tan feo que sus papás le amarraban un trozo de carne al cuello para que el perro jugara con el...,1,0,1,1,0,1
118,"Típico: Ir a la tienda golpeando con la rodilla, el envase del refresco.",0,0,0,0,0,0
119,Típico: estás saliendo con alguien y de repente aparece hasta tu ex del kínder.,0,0,0,0,0,0
120,Sinónimos de felicidad: -Comer -Dormir -Alcohol -Dinero -Música -Amigos,0,1,1,0,0,0
121,"No creas en quien dice quererte, sino en quien lucha por tenerte...  ",0,0,0,0,0,0
122,Nueva meta de esta generación: Llegar virgen a la primera comunión.,1,0,0,0,3,0
123,"RT @SoloDeMujer: No te rindas, recuerda que muchas veces la última llave es la que abre la puerta.",0,0,1,0,0,0
124,Lo mejor de dormir es dormir.,0,2,1,0,1,0
125,"RT @FraseSexual: De acuerdo con el Instituto Kinsey, la erección de pene más corta, fue registrada en tan solo 4.5 centímetros",0,0,1,0,0,0
126,"Los domingos se hicieron para comer tarde, dormir todo el día y quejarse porque mañana es lunes.",0,0,0,0,0,0
127,Yo también pienso que he hecho bien el examen hasta que le pregunto a los demás sus respuestas.,0,1,0,1,0,0
128,"—Me cae mal
—¿La conoces?
—No, pero me cae mal.",0,0,0,0,0,0
129,"-Te amo &lt;3 -Yo ya casi &lt;2,9999",0,1,0,0,0,0
130,"En la vida existen momentos incomparables, cosas inexplicables y personas inolvidables",0,0,0,0,0,0
131,Cuando te bañas: 75% pensar o cantar. 25% bañarte.,0,0,1,1,0,0
132,"—Cuando estoy aburrido de hablar con alguien digo: ""Jajajaja! Sí"", para cortar la conversación. —¿En serio? —Jajajaja! Sí.",1,0,0,2,0,0
133,"RT @RealidadEnfrase: ""Una cosa es perdonar y otra muy diferente volver a confiar.""",0,0,0,0,0,0
134,"Dios nunca pone a alguien en tu vida sin ninguna razón. Algún día, sabremos por qué lo hizo. BUEN DIA",0,0,2,0,0,0
135,"Estamos en ciudad GOTICA: Sin gotica de luz, sin gotica de agua, sin gotica de seguridad. Atte. El Guasón de Sabaneta by @camilotorre",1,0,0,3,0,0
136,@PitufoFilosofon A veces lo malo sucede para que puedas agradecer por todo lo bueno que te da la vida.,0,0,0,0,0,0
137,Un hombre dice: Tengo tanta hambre que me comería un helicóptero... Y un marica a su lado: tucutucutucutucutucu,1,1,0,0,0,1
138,Típico: Despertar de una siesta y no saber si mirar la hora o el calendario.,0,1,0,1,0,0
139,"-Le robé un beso que me dejo sin aliento -Pero contame, ¿Cómo fue? -Le robé el beso y luego me dio un golpe en el estómago :(",1,0,0,2,1,0
140,TIpico: Ir por la calle. Saludar a alguien. Que no te devuelva el saludo. Pensar... A ÉSTE YA NO LE SALUDO MÁS.,1,0,1,1,0,0
141,Decir que es una larga historia para no contarla.,0,1,0,0,0,0
142, Sexy And Know It - LMFAO,0,0,0,0,0,0
143,"—Doctor, doctor, no puedo recordar nada. —¿Desde cuándo tiene este problema? —¿Cuál problema?",1,1,0,1,1,0
144,La gente lo llama día de San Valentín. Yo lo llamo jueves.,1,0,0,1,1,0
