,text,category,median
0,-La semana pasada mi hijo hizo un triple salto mortal desde 20 metros de altura - ¿Es trapecista? -Era :( punctuation determiner noun verb determiner noun verb determiner adjective noun adjective adposition number adposition noun punctuation punctuation verb noun punctuation punctuation verb punctuation punctuation,1,2
1,"-Yo ya voy por mi segundo millón de dólares... -¿!Ah, si!? -Es que el primero nunca lo hice...  punctuation pronoun adverb verb adposition determiner adjective noun adposition noun punctuation punctuation punctuation punctuation interjection punctuation conjunction punctuation punctuation punctuation verb conjunction determiner adjective adverb pronoun verb punctuation",0,0
2,-Ayer fue mi cumpleaños y no me felicitaste - ¡FéÉLíCÍDáÁDÉéS! - ¿Qué haces? -Felicitarte con retraso. punctuation adverb verb determiner noun conjunction adverb pronoun verb punctuation punctuation noun punctuation punctuation punctuation determiner noun punctuation punctuation verb pronoun adposition noun punctuation,1,3
3,"No es flojera, es un estado de ahorro de energía corporal :) adverb verb noun punctuation verb determiner noun adposition noun adposition noun adjective punctuation punctuation",1,1
4,- ¿Cómo te fue en matemática? -Vos sabes que soy muy pacífica - ¿Y eso qué tiene que ver? -No me gustan los problemas jajaja -Castigada - :( punctuation punctuation pronoun pronoun verb adposition noun punctuation punctuation pronoun verb conjunction verb adverb adjective punctuation punctuation conjunction pronoun pronoun verb conjunction verb punctuation punctuation adverb pronoun verb determiner noun adjective punctuation verb punctuation punctuation punctuation,0,0
5,"-Compadre, su hija antes me daba como por las rodillas, ahora me da hasta las nalgas!  punctuation noun punctuation determiner noun adverb pronoun verb conjunction adposition determiner noun punctuation adverb pronoun verb adposition determiner noun punctuation",1,1
6,Había una vez una tortuguita que fue a su primer día de clases y cuando llegó… ¡Ya estaban de vacaciones! verb number noun determiner noun pronoun verb adposition determiner adjective noun adposition noun conjunction conjunction verb punctuation punctuation adverb verb adposition noun punctuation,1,1
7,"Una novia que sea tan delicada como Neymar, eso es lo que quiero. determiner noun pronoun verb adverb adjective conjunction noun punctuation pronoun verb determiner pronoun verb punctuation",0,0
8,¿Qué le dice el Nesquik a la leche? ¡Te voy a echar un polvo que te va a cambiar el color!   punctuation pronoun pronoun verb determiner noun adposition determiner noun punctuation punctuation pronoun verb adposition verb determiner noun pronoun pronoun verb adposition verb determiner noun punctuation,1,1
9,"Si oscar se queda me pego un tiro con un banano, a vd y apago el tv xD (Mateo) conjunction noun pronoun verb pronoun verb determiner noun adposition determiner noun punctuation adposition noun conjunction verb determiner noun noun punctuation verb punctuation",0,0
10,"- ¿Cual es tu nombre? -Pikachu Rodríguez, ¿y el tuyo? -Pablo - ¡No me jodas! ¿Como el de los picapiedras? punctuation punctuation pronoun verb determiner noun punctuation punctuation noun punctuation punctuation conjunction determiner adjective punctuation punctuation verb punctuation punctuation adverb pronoun verb punctuation punctuation conjunction determiner adposition determiner noun punctuation",1,4
11,"Encerrarse a llorar en silencio, respirar, lavarse la cara, salir y poner esa sonrisa de ""Todo está perfecto, no me pasa NADA!"". verb pronoun adposition verb adposition noun punctuation verb punctuation verb pronoun determiner noun punctuation verb conjunction verb determiner noun adposition punctuation pronoun verb adjective punctuation adverb pronoun verb noun punctuation punctuation punctuation",0,0
12,¿Cuál es la diferencia entre cualquier adolescente y E.T.?  Que E.T. llamaba a la casa... by @hadacon  punctuation pronoun verb determiner noun adposition determiner noun conjunction noun punctuation conjunction noun verb adposition determiner noun punctuation noun punctuation noun,1,1
13,"Llegada inoportuna de gente a tu casa, que te obliga a vestirte... noun adjective adposition noun adposition determiner noun punctuation pronoun pronoun verb adposition verb pronoun punctuation",0,0
14,A mí también la ropa me habla y me dice: ¡COOOMPRAME! adposition pronoun adverb determiner noun pronoun verb conjunction pronoun verb punctuation punctuation noun punctuation,0,0
15,"La vida es corta... sonríele a quien llora, ignora a quien te critica y sé feliz con quien te importa. determiner noun verb adjective punctuation verb pronoun adposition pronoun verb punctuation verb adposition pronoun pronoun verb conjunction verb adjective adposition pronoun pronoun verb punctuation",0,0
16,"-Por vos iría hasta el fin del mundo -Ayyy ♥ ¿en serio? -Sí, con tal de alejarme de vos, ¡feo! punctuation adposition pronoun verb adposition determiner noun adposition determiner noun punctuation noun punctuation punctuation adposition adjective punctuation punctuation adverb punctuation adposition verb pronoun adposition pronoun punctuation punctuation adjective punctuation",1,4
17,"Hay cosas que no se deberían romper jamás: Las promesas, los corazones, los condones. verb noun pronoun adverb pronoun verb verb adverb punctuation determiner noun punctuation determiner noun punctuation determiner noun punctuation",1,3
18,RT @TodoReflexion: Los bosques serían demasiado silenciosos si cantaran sólo los pájaros que mejor lo hacen noun punctuation noun punctuation determiner noun verb adverb adjective conjunction verb adverb determiner noun pronoun adverb pronoun verb,0,0
19,"—Mamá, mi novia me mandó a la mierda. :( 
—Ponte suéter o no vas. punctuation noun punctuation determiner noun pronoun verb adposition determiner noun punctuation punctuation punctuation punctuation noun noun conjunction adverb verb punctuation",1,1
20,"Una madre a su hija: -Es tan desagradable tu último novio, ¡que seré su suegra con verdadero placer!   determiner noun adposition determiner noun punctuation punctuation verb adverb adjective determiner adjective noun punctuation punctuation conjunction verb determiner noun adposition adjective noun punctuation",1,2
21,"Si no eres mala influencia, fracasaste como mejor amigo. conjunction adverb verb adjective noun punctuation verb conjunction adjective noun punctuation",1,2
22,"Un amigo viene a tiempo, los demás, cuando tienen tiempo. determiner noun verb adposition noun punctuation determiner pronoun punctuation conjunction verb noun punctuation",0,0
23,"- ¿Qué haces en tu tiempo libre? -Soy asesina en serie - ¿En serio? -No, en serie. punctuation punctuation determiner noun adposition determiner noun adjective punctuation punctuation verb adjective adposition noun punctuation punctuation adposition adjective punctuation punctuation adverb punctuation adposition noun punctuation",1,4
24,@coketaboada Jajajaja lolazo. punctuation noun noun noun punctuation,0,0
25,RT @TipsKids: Modales en la mesa: Plantéate qué modales para la mesa son más importantes para ti y lo que quieres que tus hijos aprendan y … noun punctuation noun punctuation noun adposition determiner noun punctuation verb pronoun determiner noun adposition determiner noun verb adverb adjective adposition pronoun conjunction determiner pronoun verb conjunction determiner noun verb conjunction punctuation,0,0
26,"RT @AnaBuilesC: ""Mateo al 6565"" ya se cagaron la hpta noche con este hpta HT de veras que ustedes valen mnd!!! Partidaas de brutos! noun punctuation noun punctuation punctuation verb adposition determiner number punctuation adverb pronoun verb determiner noun noun adposition determiner noun noun adposition noun pronoun pronoun verb noun punctuation punctuation punctuation noun adposition adjective punctuation",0,0
27,"A mi también me dijeron ""te debo el regalo"" y todavía lo estoy esperando adposition determiner adverb pronoun verb punctuation pronoun verb determiner noun punctuation conjunction adverb pronoun verb verb",0,0
28,Las mujeres tienen 6 sentidos:    -Tacto.   -Gusto.   -Olfato.   -Oído.   -Vista.   -Detector de zorras. determiner noun verb number noun punctuation punctuation noun punctuation punctuation noun punctuation punctuation noun punctuation punctuation verb punctuation punctuation noun punctuation punctuation noun adposition noun punctuation,1,1
29,"TÍPICO: Te pones los audífonos, te hablan, y tu solo sonríes y dices que ""si"" noun punctuation pronoun verb determiner noun punctuation pronoun verb punctuation conjunction determiner adjective verb conjunction verb conjunction punctuation conjunction punctuation",0,0
30,Mi padre es un viejo verde. (El increíble Hulk)   determiner noun verb determiner adjective adjective punctuation punctuation determiner adjective noun punctuation,1,2
31,"El TT' Original era: The Beatles Nuestros Idolos, Algunos metiron mal el dedo y escribieron: Wisin y Yandel Nuestros Idolos (HP Regayton). determiner noun punctuation adjective verb punctuation noun punctuation noun verb adverb determiner noun conjunction verb punctuation noun conjunction noun punctuation noun punctuation punctuation",0,0
32,A mi no me asustan tipos lenguas largas... (Atte. El Clitoris) by @tokesitodeldia  adposition determiner adverb pronoun verb noun noun adjective punctuation punctuation noun punctuation noun punctuation adjective,1,3
