,text,median,category
0,"No es flojera, es un estado de ahorro de energía corporal :) adverb verb noun punctuation verb determiner noun adposition noun adposition noun adjective punctuation punctuation",1,1
1,"-Compadre, su hija antes me daba como por las rodillas, ahora me da hasta las nalgas!  punctuation noun punctuation determiner noun adverb pronoun verb conjunction adposition determiner noun punctuation adverb pronoun verb adposition determiner noun punctuation",1,1
2,"—Mamá, mi novia me mandó a la mierda. :( 
—Ponte suéter o no vas. punctuation noun punctuation determiner noun pronoun verb adposition determiner noun punctuation punctuation punctuation punctuation noun noun conjunction adverb verb punctuation",1,1
3,"- ¿Qué haces en tu tiempo libre? -Soy asesina en serie - ¿En serio? -No, en serie. punctuation punctuation determiner noun adposition determiner noun adjective punctuation punctuation verb adjective adposition noun punctuation punctuation adposition adjective punctuation punctuation adverb punctuation adposition noun punctuation",4,1
4,"Y a ti ¿qué te parece lo del sexo por teléfono? -Una vez lo intenté, pero los agujeros del micrófono eran demasiado pequeños. by @pipe0405 conjunction adposition pronoun punctuation pronoun pronoun verb determiner adposition determiner noun adposition noun punctuation punctuation determiner noun pronoun verb punctuation conjunction determiner noun adposition determiner noun verb adverb adjective punctuation noun punctuation number",3,1
5,"— Oye, ¿cómo se escribe nariz en inglés? — NOSE — ¿Tú tampoco?. Mierda, nadie lo sabe... punctuation noun punctuation punctuation pronoun pronoun verb noun adposition noun punctuation punctuation noun punctuation punctuation pronoun adverb punctuation punctuation noun punctuation pronoun pronoun verb punctuation",3,1
6,Nunca es tarde para seguir durmiendo adverb verb noun adposition verb verb,1,1
7,"Escuchar a alguien hablar y pensar: ""deja de mentir"". verb adposition pronoun verb conjunction verb punctuation punctuation verb adposition verb punctuation punctuation",1,0
8,Típico: Ir por la calle y sonreirle a un recuerdo que se cruzó por tu mente. noun punctuation verb adposition determiner noun conjunction verb adposition determiner noun pronoun pronoun verb adposition determiner noun punctuation,1,0
9,Típico: Te levantas de noche para ir al baño y corres lo más veloz que puedes para que el fantasma no te alcance :( noun punctuation pronoun verb adposition noun adposition verb adposition determiner noun conjunction verb determiner adverb adjective pronoun verb adposition conjunction determiner noun adverb pronoun verb punctuation punctuation,2,1
