,text,category
0,"Una novia que sea tan delicada como Neymar, eso es lo que quiero.",0
1,"- ¿Cual es tu nombre? -Pikachu Rodríguez, ¿y el tuyo? -Pablo - ¡No me jodas! ¿Como el de los picapiedras?",1
2,"RT @AnaBuilesC: ""Mateo al 6565"" ya se cagaron la hpta noche con este hpta HT de veras que ustedes valen mnd!!! Partidaas de brutos!",0
3,"A mi también me dijeron ""te debo el regalo"" y todavía lo estoy esperando",0
4,"TÍPICO: Te pones los audífonos, te hablan, y tu solo sonríes y dices que ""si""",0
5,"El TT' Original era: The Beatles Nuestros Idolos, Algunos metiron mal el dedo y escribieron: Wisin y Yandel Nuestros Idolos (HP Regayton).",0
6,"Escuchar a alguien hablar y pensar: ""deja de mentir"".",0
7,La capacidad que tengo para molestar cuando me aburro es impresionante,0
8,Típico: Ir por la calle y sonreirle a un recuerdo que se cruzó por tu mente.,0
9,¿Alcohólico yo? JAJAJAJAJA ¡Para nada! Cada año solo bebo en 2 ocasiones: Cuando es mi cumpleaños y cuando no lo es.,1
10,El amor es el único deporte que no se suspende por falta de luz... ,0
11,"-Como te llamas? -Anastasia, y me dicen Ana, tu? -Catalina, y me dicen Cata, y tu? -Penélope, pero no tengo apodo! by @DuendeUrbano",1
12,"Un pistolero enojado dice a otro: -Oye, que tu andas diciendo que nosotros nos besamos? -No -Entonces nos vieron! by @rodrydi ",1
13,"-Me vuelves a decir gorda y te dejo -No, mi amor, piensa en el bebé -¿Cual bebé? -Ah, ¿No estás embarazada?",1
14,"-Hola, perdón por el retraso -No te preocupes, sé que naciste así. ¿Pero por qué llegaste tarde?",1
15,"-Puedo hablar con los animales - ¿En serio? ¿Qué te dicen? -No sé, no los entiendo.",1
16,"Típico: Ir a la tienda golpeando con la rodilla, el envase del refresco.",0
17,Nueva meta de esta generación: Llegar virgen a la primera comunión.,1
18,"RT @SoloDeMujer: No te rindas, recuerda que muchas veces la última llave es la que abre la puerta.",0
19,"Estamos en ciudad GOTICA: Sin gotica de luz, sin gotica de agua, sin gotica de seguridad. Atte. El Guasón de Sabaneta by @camilotorre",1
20,Un hombre dice: Tengo tanta hambre que me comería un helicóptero... Y un marica a su lado: tucutucutucutucutucu,1
21,Típico: Despertar de una siesta y no saber si mirar la hora o el calendario.,0
22,¿Cuál es la enfermedad del 1 + 2? El ESTRESS ,1
23,"—Hey, mi mamá quiere ser tu suegra. —Uy, la mía quería ser cantante y tampoco se le hizo. —Ay :(",1
