,text,median,category
0,-La semana pasada mi hijo hizo un triple salto mortal desde 20 metros de altura - ¿Es trapecista? -Era :( punctuation determiner noun verb determiner noun verb determiner adjective noun adjective adposition number adposition noun punctuation punctuation verb noun punctuation punctuation verb punctuation punctuation,2,1
1,"-Yo ya voy por mi segundo millón de dólares... -¿!Ah, si!? -Es que el primero nunca lo hice...  punctuation pronoun adverb verb adposition determiner adjective noun adposition noun punctuation punctuation punctuation punctuation interjection punctuation conjunction punctuation punctuation punctuation verb conjunction determiner adjective adverb pronoun verb punctuation",0,0
2,-Ayer fue mi cumpleaños y no me felicitaste - ¡FéÉLíCÍDáÁDÉéS! - ¿Qué haces? -Felicitarte con retraso. punctuation adverb verb determiner noun conjunction adverb pronoun verb punctuation punctuation noun punctuation punctuation punctuation determiner noun punctuation punctuation verb pronoun adposition noun punctuation,3,1
3,- ¿Cómo te fue en matemática? -Vos sabes que soy muy pacífica - ¿Y eso qué tiene que ver? -No me gustan los problemas jajaja -Castigada - :( punctuation punctuation pronoun pronoun verb adposition noun punctuation punctuation pronoun verb conjunction verb adverb adjective punctuation punctuation conjunction pronoun pronoun verb conjunction verb punctuation punctuation adverb pronoun verb determiner noun adjective punctuation verb punctuation punctuation punctuation,0,0
4,Había una vez una tortuguita que fue a su primer día de clases y cuando llegó… ¡Ya estaban de vacaciones! verb number noun determiner noun pronoun verb adposition determiner adjective noun adposition noun conjunction conjunction verb punctuation punctuation adverb verb adposition noun punctuation,1,1
5,"Una novia que sea tan delicada como Neymar, eso es lo que quiero. determiner noun pronoun verb adverb adjective conjunction noun punctuation pronoun verb determiner pronoun verb punctuation",0,0
6,¿Qué le dice el Nesquik a la leche? ¡Te voy a echar un polvo que te va a cambiar el color!   punctuation pronoun pronoun verb determiner noun adposition determiner noun punctuation punctuation pronoun verb adposition verb determiner noun pronoun pronoun verb adposition verb determiner noun punctuation,1,1
7,"Si oscar se queda me pego un tiro con un banano, a vd y apago el tv xD (Mateo) conjunction noun pronoun verb pronoun verb determiner noun adposition determiner noun punctuation adposition noun conjunction verb determiner noun noun punctuation verb punctuation",0,0
8,"- ¿Cual es tu nombre? -Pikachu Rodríguez, ¿y el tuyo? -Pablo - ¡No me jodas! ¿Como el de los picapiedras? punctuation punctuation pronoun verb determiner noun punctuation punctuation noun punctuation punctuation conjunction determiner adjective punctuation punctuation verb punctuation punctuation adverb pronoun verb punctuation punctuation conjunction determiner adposition determiner noun punctuation",4,1
9,"Encerrarse a llorar en silencio, respirar, lavarse la cara, salir y poner esa sonrisa de ""Todo está perfecto, no me pasa NADA!"". verb pronoun adposition verb adposition noun punctuation verb punctuation verb pronoun determiner noun punctuation verb conjunction verb determiner noun adposition punctuation pronoun verb adjective punctuation adverb pronoun verb noun punctuation punctuation punctuation",0,0
10,¿Cuál es la diferencia entre cualquier adolescente y E.T.?  Que E.T. llamaba a la casa... by @hadacon  punctuation pronoun verb determiner noun adposition determiner noun conjunction noun punctuation conjunction noun verb adposition determiner noun punctuation noun punctuation noun,1,1
11,"Llegada inoportuna de gente a tu casa, que te obliga a vestirte... noun adjective adposition noun adposition determiner noun punctuation pronoun pronoun verb adposition verb pronoun punctuation",0,0
12,A mí también la ropa me habla y me dice: ¡COOOMPRAME! adposition pronoun adverb determiner noun pronoun verb conjunction pronoun verb punctuation punctuation noun punctuation,0,0
13,"La vida es corta... sonríele a quien llora, ignora a quien te critica y sé feliz con quien te importa. determiner noun verb adjective punctuation verb pronoun adposition pronoun verb punctuation verb adposition pronoun pronoun verb conjunction verb adjective adposition pronoun pronoun verb punctuation",0,0
14,"-Por vos iría hasta el fin del mundo -Ayyy ♥ ¿en serio? -Sí, con tal de alejarme de vos, ¡feo! punctuation adposition pronoun verb adposition determiner noun adposition determiner noun punctuation noun punctuation punctuation adposition adjective punctuation punctuation adverb punctuation adposition verb pronoun adposition pronoun punctuation punctuation adjective punctuation",4,1
15,"Hay cosas que no se deberían romper jamás: Las promesas, los corazones, los condones. verb noun pronoun adverb pronoun verb verb adverb punctuation determiner noun punctuation determiner noun punctuation determiner noun punctuation",3,1
16,RT @TodoReflexion: Los bosques serían demasiado silenciosos si cantaran sólo los pájaros que mejor lo hacen noun punctuation noun punctuation determiner noun verb adverb adjective conjunction verb adverb determiner noun pronoun adverb pronoun verb,0,0
17,"Una madre a su hija: -Es tan desagradable tu último novio, ¡que seré su suegra con verdadero placer!   determiner noun adposition determiner noun punctuation punctuation verb adverb adjective determiner adjective noun punctuation punctuation conjunction verb determiner noun adposition adjective noun punctuation",2,1
18,"Si no eres mala influencia, fracasaste como mejor amigo. conjunction adverb verb adjective noun punctuation verb conjunction adjective noun punctuation",2,1
19,"Un amigo viene a tiempo, los demás, cuando tienen tiempo. determiner noun verb adposition noun punctuation determiner pronoun punctuation conjunction verb noun punctuation",0,0
20,@coketaboada Jajajaja lolazo. punctuation noun noun noun punctuation,0,0
21,RT @TipsKids: Modales en la mesa: Plantéate qué modales para la mesa son más importantes para ti y lo que quieres que tus hijos aprendan y … noun punctuation noun punctuation noun adposition determiner noun punctuation verb pronoun determiner noun adposition determiner noun verb adverb adjective adposition pronoun conjunction determiner pronoun verb conjunction determiner noun verb conjunction punctuation,0,0
22,"RT @AnaBuilesC: ""Mateo al 6565"" ya se cagaron la hpta noche con este hpta HT de veras que ustedes valen mnd!!! Partidaas de brutos! noun punctuation noun punctuation punctuation verb adposition determiner number punctuation adverb pronoun verb determiner noun noun adposition determiner noun noun adposition noun pronoun pronoun verb noun punctuation punctuation punctuation noun adposition adjective punctuation",0,0
23,"A mi también me dijeron ""te debo el regalo"" y todavía lo estoy esperando adposition determiner adverb pronoun verb punctuation pronoun verb determiner noun punctuation conjunction adverb pronoun verb verb",0,0
24,Las mujeres tienen 6 sentidos:    -Tacto.   -Gusto.   -Olfato.   -Oído.   -Vista.   -Detector de zorras. determiner noun verb number noun punctuation punctuation noun punctuation punctuation noun punctuation punctuation noun punctuation punctuation verb punctuation punctuation noun punctuation punctuation noun adposition noun punctuation,1,1
25,"TÍPICO: Te pones los audífonos, te hablan, y tu solo sonríes y dices que ""si"" noun punctuation pronoun verb determiner noun punctuation pronoun verb punctuation conjunction determiner adjective verb conjunction verb conjunction punctuation conjunction punctuation",0,0
26,Mi padre es un viejo verde. (El increíble Hulk)   determiner noun verb determiner adjective adjective punctuation punctuation determiner adjective noun punctuation,2,1
27,"El TT' Original era: The Beatles Nuestros Idolos, Algunos metiron mal el dedo y escribieron: Wisin y Yandel Nuestros Idolos (HP Regayton). determiner noun punctuation adjective verb punctuation noun punctuation noun verb adverb determiner noun conjunction verb punctuation noun conjunction noun punctuation noun punctuation punctuation",0,0
28,A mi no me asustan tipos lenguas largas... (Atte. El Clitoris) by @tokesitodeldia  adposition determiner adverb pronoun verb noun noun adjective punctuation punctuation noun punctuation noun punctuation adjective,3,1
29,"-Papá, ¿me das $100? 
- ¿QUE? ¿Qué te de $50? ¿Para qué queres $30 si con $20 es suficiente? Toma $10 y dale $5 a tu hermano. punctuation noun punctuation punctuation pronoun verb number punctuation punctuation punctuation pronoun punctuation punctuation pronoun pronoun adposition number punctuation punctuation adposition pronoun verb number conjunction adposition number verb adjective punctuation verb number conjunction verb pronoun number adposition determiner noun punctuation",3,1
30,"El día que nosotros gobernemos, todos temblarán. (Un epiléptico)    determiner noun pronoun pronoun verb punctuation pronoun verb punctuation punctuation determiner noun punctuation",1,1
31,"El vodka es como el agua, pero con superpoderes. determiner noun verb conjunction determiner noun punctuation conjunction adposition noun punctuation",1,1
32,La mayoría de los hombres joden demasiado hasta lograr un «SI » y luego no saben qué hacer con él. determiner noun adposition determiner noun verb adverb adposition verb determiner punctuation conjunction punctuation conjunction adverb adverb verb pronoun verb adposition pronoun punctuation,2,1
33,Perdida inmediata de la dignidad al intentar subir un escalón invisible verb adjective adposition determiner noun adposition determiner verb verb determiner noun adjective,3,1
34,"TE CONQUISTARIA, pero no soy Cristóbal colon :( noun punctuation conjunction adverb verb noun noun punctuation punctuation",4,1
35,"El optimista piensa que este es el mejor de los mundos posibles, y el pesimista teme que eso sea verdad.   determiner adjective verb conjunction pronoun verb determiner adjective adposition determiner noun adjective punctuation conjunction determiner noun verb conjunction pronoun verb noun punctuation",0,0
36,Dicen que la tele engorda... ¡por eso no como tele!  by @leoidair   verb conjunction determiner noun verb punctuation punctuation adposition pronoun adverb conjunction noun punctuation noun punctuation verb,1,1
37,"—Oye, ¿me prestas tu baño? —Si ¿Necesitas papel higiénico? —No te preocupes, solo me quiero tomar unas fotos para mi perfil.  punctuation noun punctuation punctuation pronoun verb determiner noun punctuation punctuation noun punctuation verb noun adjective punctuation punctuation noun pronoun verb punctuation adverb pronoun verb verb determiner noun adposition determiner noun punctuation",3,1
38, ¿QHèEé TíèEënêé èLLáà QèEë nóHOò tènNGgàä yHOóòò?  La primaria terminada. punctuation punctuation noun verb noun verb adverb noun punctuation punctuation noun adjective verb punctuation,1,1
39,- ¿Y el novio hija? - ¿Y los dientes abuela? punctuation punctuation conjunction determiner noun noun punctuation punctuation punctuation conjunction determiner noun noun punctuation,3,1
40,"—Hola perra, ¿Cómo estás?  —¡No me digas así! *Le da una cachetada*   —Oh que fuerza, debe ser por . punctuation noun noun punctuation punctuation pronoun verb punctuation punctuation punctuation adverb pronoun verb adverb punctuation punctuation noun verb determiner noun punctuation punctuation noun conjunction noun punctuation verb verb adposition punctuation",4,1
41,Hoy comer mole... Y mañana hacer pescado... Pescado del toallero... by @nutri_mona   adverb verb noun punctuation conjunction adverb verb noun punctuation noun adposition determiner noun punctuation noun punctuation noun,0,0
42,ABURRIDORA: Persona que habla cuando queremos que escuche. -Ambrose Bierce   noun punctuation noun pronoun verb conjunction verb conjunction verb punctuation punctuation noun,0,0
43,Errar es de humanos dijo el pato y se bajó de la gallina. Perdonar es divino dijo la gallina y salió corriendo detrás del pato.  verb verb adposition adjective verb determiner noun conjunction pronoun verb adposition determiner noun punctuation verb verb adjective verb determiner noun conjunction verb verb adposition determiner noun punctuation,1,1
44,La capacidad que tengo para molestar cuando me aburro es impresionante determiner noun pronoun verb adposition verb conjunction pronoun verb verb adjective,0,0
45,"RT @MuyCuriosoES: Microsoft gasta más atendiendo llamadas de sus usuarios con problemas, que produciendo sus programas. noun punctuation noun punctuation noun verb adverb verb noun adposition determiner noun adposition noun punctuation pronoun verb determiner noun punctuation",0,0
46,"Aunque ustedes no lo crean, se necesita ser muy inteligente para escribir tanta pendejada. O_o conjunction pronoun adverb pronoun verb punctuation pronoun verb verb adverb adjective adposition verb determiner noun punctuation noun",4,0
47,Yo también acabo riéndome cuando intento hacerme el dormido. pronoun adverb verb verb pronoun conjunction verb verb pronoun determiner verb punctuation,3,1
48,"Los hombres son excelentes cocineros. Con 2 huevos, 1 salchicha y un poco de leche, llenan la panza de una mujer por 9 meses by @edwinxs determiner noun verb adjective noun punctuation adposition number noun punctuation number noun conjunction determiner pronoun adposition noun punctuation verb determiner noun adposition determiner noun adposition number noun noun punctuation noun",1,1
49,Típico : Leer el mismo mensajes miles de veces y aun no saber que contestar. noun punctuation verb determiner adjective noun noun adposition noun conjunction adverb adverb verb pronoun verb punctuation,0,0
50,"De niños todos éramos amigos, hasta que llegaba la hora de la piñata. adposition noun pronoun verb noun punctuation adposition pronoun verb determiner noun adposition determiner noun punctuation",1,0
51,—Antes de fusilarlo ¿quiere decir algo? —Sí. Algo ¡JAJAJÁ! —¿Divertido? —Vertido ¡JAJAJAJAJÁ! —¡DISPAREEEN! —¡SPAREEEN! ¡JAJAJAJAJAJÁ! punctuation noun verb pronoun punctuation verb verb pronoun punctuation punctuation noun punctuation pronoun punctuation interjection punctuation punctuation punctuation verb punctuation punctuation noun punctuation noun punctuation punctuation punctuation noun punctuation punctuation punctuation noun punctuation punctuation noun punctuation,3,1
52,"No estoy en contra de que haya mujeres feas, pero ¿por qué todas viven en esta cuidad?    adverb verb adposition conjunction verb noun adjective punctuation conjunction punctuation adposition pronoun determiner verb adposition pronoun verb punctuation",1,1
53,"—¿Eres un Pokémon? —No, ¿por qué? —Pokéstasmuybuena —¿Eres soltero y virgen, verdad? —Y maestro Pokémon también. punctuation punctuation noun punctuation punctuation noun punctuation punctuation adposition pronoun punctuation punctuation noun punctuation punctuation verb adjective conjunction adjective punctuation noun punctuation punctuation noun noun noun adverb punctuation",2,1
54,"—¿Te pusieron brackets? —NOOO PENDEJO, vino MTV y me enchulo la boca. JaaJaa punctuation punctuation pronoun verb noun punctuation punctuation noun punctuation verb noun conjunction pronoun verb determiner noun punctuation noun",3,1
55,Típico: Salir de casa sin peinarte y sonreír porque sabes que igual eres guapo. noun punctuation verb adposition noun adposition verb pronoun conjunction verb conjunction verb conjunction adverb verb adjective punctuation,0,0
56,"- ¿Cómo van los estudios? - ¿Podemos hablar de otra cosa? -Ok, ¿y el novio? -Bueno los profesores no son muy buenos que digamos… punctuation punctuation pronoun verb determiner noun punctuation punctuation punctuation verb verb adposition determiner noun punctuation punctuation noun punctuation punctuation conjunction determiner noun punctuation punctuation interjection determiner noun adverb verb adverb adjective conjunction verb punctuation",2,1
57,"Tras revisar al esposo, el Dr dice a la mujer: -El aspecto de su marido no me gusta -A mi tampoco pero es bueno con mis hijos! adposition verb adposition determiner noun punctuation determiner noun verb adposition determiner noun punctuation punctuation determiner noun adposition determiner noun adverb pronoun verb punctuation adposition determiner adverb conjunction verb adjective adposition determiner noun punctuation",4,1
58,Todos los días me levanto con más sueño que cuando me fui a dormir determiner determiner noun pronoun verb adposition adverb noun conjunction conjunction pronoun verb adposition verb,1,1
59,"Si el físico no importa, ¿Por que tomaron enserio a Newton? conjunction determiner noun adverb verb punctuation punctuation adposition pronoun verb verb adposition noun punctuation",3,1
60,"-Hola, ¿con la fabrica de fieles? -Si -Hagan más, porque ya quedamos pocos punctuation interjection punctuation punctuation adposition determiner verb adposition noun punctuation punctuation conjunction punctuation verb adverb punctuation conjunction adverb verb determiner",2,1
61,—¿No te cansas de dormir? —Ni que durmiera corriendo. punctuation punctuation adverb pronoun verb adposition verb punctuation punctuation noun verb verb punctuation,3,1
62,—Tengo frío. —Pero si es verano. —Pero hace frío... —Pero si hace 40 grados. —¡ABRÁZAME IDIOTA! punctuation noun noun punctuation punctuation noun conjunction verb noun punctuation punctuation noun verb adjective punctuation punctuation noun conjunction verb number noun punctuation punctuation punctuation noun punctuation,2,1
63,"Oye, hija, ¿Trabajas en Monsters Inc.? No Mamá, ¿Por qué? ¿Y ese monstruo? ¡Mamá!, deja en paz a mi novio.  ¡33:12! ¡Tenemos un 33:12!. punctuation noun punctuation noun punctuation punctuation verb adposition noun punctuation punctuation noun punctuation punctuation adposition pronoun punctuation punctuation punctuation conjunction determiner noun punctuation punctuation punctuation noun punctuation punctuation verb adposition noun adposition determiner noun punctuation punctuation punctuation number punctuation punctuation verb determiner number punctuation punctuation",3,1
64,¡Nada es imposible! ¿No han visto como Bob Esponja hace una fogata bajo el agua? punctuation adverb verb adjective punctuation punctuation adverb verb verb conjunction noun verb determiner noun adposition determiner noun punctuation,0,0
65,El amor es el único deporte que no se suspende por falta de luz...  determiner noun verb determiner adjective noun pronoun adverb pronoun verb adposition noun adposition noun punctuation,0,0
66,"Típico: Mi profesora siempre decía: ""ese grupito de allá atrás se me separa"" noun punctuation determiner noun adverb verb punctuation punctuation determiner noun adposition adverb adverb pronoun pronoun verb punctuation",0,0
67, La gente se detenga a saludarme. determiner noun pronoun verb adposition verb pronoun punctuation,0,0
68,"Voy a estudiar, Oh una mosca Voy a estudiar, Tengo un WhatsApp Voy a estudiar, Primero me baño Voy a estudiar, pff ya es tarde, mañana verb adposition verb punctuation noun determiner noun noun adposition verb punctuation noun adposition verb punctuation noun pronoun verb noun adposition verb punctuation noun adverb verb adverb punctuation adverb",0,0
69,"Un pistolero enojado dice a otro: -Oye, que tu andas diciendo que nosotros nos besamos? -No -Entonces nos vieron! by @rodrydi  determiner noun verb verb adposition pronoun punctuation punctuation verb punctuation conjunction determiner noun verb conjunction pronoun pronoun verb punctuation punctuation adverb punctuation adverb pronoun verb punctuation noun punctuation noun",4,1
70,"-Me vuelves a decir gorda y te dejo -No, mi amor, piensa en el bebé -¿Cual bebé? -Ah, ¿No estás embarazada? punctuation pronoun verb adposition verb noun conjunction pronoun verb punctuation adverb punctuation determiner noun punctuation verb adposition determiner noun punctuation punctuation pronoun noun punctuation punctuation interjection punctuation punctuation adverb verb verb punctuation",3,1
71,"Entrevista de trabajo: -¿Cúanto voy a cobrar? -Por ahora 200 y más adelante 700 -Bueno, pues volveré más adelante.  noun adposition noun punctuation punctuation punctuation noun verb adposition verb punctuation punctuation adposition adverb number conjunction adverb adverb number punctuation interjection punctuation conjunction verb adverb adverb punctuation",5,1
72,"-Oye, ¿a ti te ayudan a sentarte? -No, me siento sola -¡LO SABÍA! Sabía que aún me extrañabas. punctuation verb punctuation punctuation adposition pronoun pronoun verb adposition verb pronoun punctuation punctuation adverb punctuation pronoun verb adjective punctuation punctuation noun punctuation verb conjunction adverb pronoun verb punctuation",5,1
73,Un buen amigo es el que te da consejos durante horas sabiendo que no los vas a seguir. determiner adjective noun verb determiner pronoun pronoun verb noun adposition noun verb conjunction adverb determiner noun adposition verb punctuation,4,0
74,"-Hola, ¿cómo te llamas? -María de los Ángeles, ¿y vos? -Pedro de New York punctuation interjection punctuation punctuation pronoun pronoun noun punctuation punctuation noun punctuation punctuation conjunction pronoun punctuation punctuation noun",1,1
75,La verdadera siesta es cuando te levantas y no te acordas ni del nombre de tu mamá determiner adjective noun verb conjunction pronoun verb conjunction adverb pronoun noun conjunction adposition determiner noun adposition determiner noun,0,0
76,RT @ceramicascaribe: En  sabemos que quieres darle el mejor hogar posible a tu familia y nosotros queremos que lo tengas noun punctuation verb punctuation adposition verb conjunction verb verb pronoun determiner adjective noun adjective adposition determiner noun conjunction pronoun verb conjunction pronoun verb,0,0
77,"-Mami, ¿hay gelatinaa? -No hija, solo hay i latina e y griega... by @Jkay282   punctuation noun punctuation punctuation verb noun punctuation punctuation adverb noun punctuation adverb verb noun adjective conjunction conjunction adjective punctuation noun punctuation number",1,1
78,"-Hola, perdón por el retraso -No te preocupes, sé que naciste así. ¿Pero por qué llegaste tarde? punctuation interjection punctuation noun adposition determiner noun punctuation adverb pronoun verb punctuation verb conjunction verb adverb punctuation punctuation conjunction adposition pronoun verb noun punctuation",5,1
79,"Los débiles toman venganza, los fuertes perdonan, pero los más inteligentes simplemente ignoran. BUEN DIA determiner noun verb noun punctuation determiner adjective verb punctuation conjunction determiner adverb adjective adverb verb punctuation noun",0,0
80,"Mi viejo me dice ""tráeme rápido el coso que está en el coso"" y yo no entiendo y corro en círculos persiguiéndome la cola. determiner adjective pronoun verb punctuation verb pronoun adverb determiner noun pronoun verb adposition determiner noun punctuation conjunction pronoun adverb verb conjunction noun adposition noun verb pronoun determiner noun punctuation",1,1
81,"Típico : Contestar ""¿Qué?"" para tener tiempo de pensar una respuesta creíble. noun punctuation verb punctuation punctuation pronoun punctuation punctuation adposition verb noun adposition verb determiner noun adjective punctuation",2,1
82,"Si amas a alguien, drógalo con cloroformo y átalo en tu cama. Si se queda, es tuyo; si logra huir, dispárale mientras corre. conjunction noun adposition pronoun punctuation verb pronoun adposition noun conjunction verb pronoun adposition determiner noun punctuation conjunction pronoun verb punctuation verb adjective punctuation conjunction verb verb punctuation verb pronoun conjunction verb punctuation",2,1
83,Esperar que un famoso te dé reply en Twitter es tan difícil como pedir un autógrafo a la salida de un concierto.  verb conjunction determiner adjective pronoun verb noun adposition noun verb adverb adjective conjunction verb determiner noun adposition determiner noun adposition determiner noun punctuation,1,1
84,"- ¡Ayuda, se perdió mi hija! - ¿Cómo se llama? -Esperanza - ¡IMPOSIBLE! La esperanza es lo último que se pierde. punctuation punctuation noun punctuation pronoun verb determiner noun punctuation punctuation punctuation pronoun pronoun verb punctuation punctuation noun punctuation punctuation adjective punctuation determiner noun verb determiner adjective pronoun pronoun verb punctuation",1,1
