,text,category
0,-La semana pasada mi hijo hizo un triple salto mortal desde 20 metros de altura - ¿Es trapecista? -Era :(,1
1,"-Yo ya voy por mi segundo millón de dólares... -¿!Ah, si!? -Es que el primero nunca lo hice... ",0
2,-Ayer fue mi cumpleaños y no me felicitaste - ¡FéÉLíCÍDáÁDÉéS! - ¿Qué haces? -Felicitarte con retraso.,1
3,"No es flojera, es un estado de ahorro de energía corporal :)",1
4,- ¿Cómo te fue en matemática? -Vos sabes que soy muy pacífica - ¿Y eso qué tiene que ver? -No me gustan los problemas jajaja -Castigada - :(,0
5,"-Compadre, su hija antes me daba como por las rodillas, ahora me da hasta las nalgas! ",1
6,Había una vez una tortuguita que fue a su primer día de clases y cuando llegó… ¡Ya estaban de vacaciones!,1
7,¿Qué le dice el Nesquik a la leche? ¡Te voy a echar un polvo que te va a cambiar el color!  ,1
8,"Si oscar se queda me pego un tiro con un banano, a vd y apago el tv xD (Mateo)",0
9,"Encerrarse a llorar en silencio, respirar, lavarse la cara, salir y poner esa sonrisa de ""Todo está perfecto, no me pasa NADA!"".",0
10,¿Cuál es la diferencia entre cualquier adolescente y E.T.?  Que E.T. llamaba a la casa... by @hadacon ,1
11,"Llegada inoportuna de gente a tu casa, que te obliga a vestirte...",0
12,A mí también la ropa me habla y me dice: ¡COOOMPRAME!,0
13,"La vida es corta... sonríele a quien llora, ignora a quien te critica y sé feliz con quien te importa.",0
14,"-Por vos iría hasta el fin del mundo -Ayyy ♥ ¿en serio? -Sí, con tal de alejarme de vos, ¡feo!",1
15,"Hay cosas que no se deberían romper jamás: Las promesas, los corazones, los condones.",1
16,RT @TodoReflexion: Los bosques serían demasiado silenciosos si cantaran sólo los pájaros que mejor lo hacen,0
17,"—Mamá, mi novia me mandó a la mierda. :( 
—Ponte suéter o no vas.",1
18,"Una madre a su hija: -Es tan desagradable tu último novio, ¡que seré su suegra con verdadero placer!  ",1
19,"Si no eres mala influencia, fracasaste como mejor amigo.",1
20,"Un amigo viene a tiempo, los demás, cuando tienen tiempo.",0
21,"- ¿Qué haces en tu tiempo libre? -Soy asesina en serie - ¿En serio? -No, en serie.",1
22,@coketaboada Jajajaja lolazo.,0
23,RT @TipsKids: Modales en la mesa: Plantéate qué modales para la mesa son más importantes para ti y lo que quieres que tus hijos aprendan y …,0
24,Las mujeres tienen 6 sentidos:    -Tacto.   -Gusto.   -Olfato.   -Oído.   -Vista.   -Detector de zorras.,1
25,Mi padre es un viejo verde. (El increíble Hulk)  ,1
26,A mi no me asustan tipos lenguas largas... (Atte. El Clitoris) by @tokesitodeldia ,1
27,"Y a ti ¿qué te parece lo del sexo por teléfono? -Una vez lo intenté, pero los agujeros del micrófono eran demasiado pequeños. by @pipe0405",1
28,"-Papá, ¿me das $100? 
- ¿QUE? ¿Qué te de $50? ¿Para qué queres $30 si con $20 es suficiente? Toma $10 y dale $5 a tu hermano.",1
29,"— Oye, ¿cómo se escribe nariz en inglés? — NOSE — ¿Tú tampoco?. Mierda, nadie lo sabe...",1
30,"El día que nosotros gobernemos, todos temblarán. (Un epiléptico)   ",1
31,"El vodka es como el agua, pero con superpoderes.",1
32,Nunca es tarde para seguir durmiendo,1
33,La mayoría de los hombres joden demasiado hasta lograr un «SI » y luego no saben qué hacer con él.,1
34,Perdida inmediata de la dignidad al intentar subir un escalón invisible,1
35,"TE CONQUISTARIA, pero no soy Cristóbal colon :(",1
36,"El optimista piensa que este es el mejor de los mundos posibles, y el pesimista teme que eso sea verdad.  ",0
37,Dicen que la tele engorda... ¡por eso no como tele!  by @leoidair  ,1
38,"—Oye, ¿me prestas tu baño? —Si ¿Necesitas papel higiénico? —No te preocupes, solo me quiero tomar unas fotos para mi perfil. ",1
39, ¿QHèEé TíèEënêé èLLáà QèEë nóHOò tènNGgàä yHOóòò?  La primaria terminada.,1
40,- ¿Y el novio hija? - ¿Y los dientes abuela?,1
41,"—Hola perra, ¿Cómo estás?  —¡No me digas así! *Le da una cachetada*   —Oh que fuerza, debe ser por .",1
42,Hoy comer mole... Y mañana hacer pescado... Pescado del toallero... by @nutri_mona  ,0
43,ABURRIDORA: Persona que habla cuando queremos que escuche. -Ambrose Bierce  ,0
44,Errar es de humanos dijo el pato y se bajó de la gallina. Perdonar es divino dijo la gallina y salió corriendo detrás del pato. ,1
45,"RT @MuyCuriosoES: Microsoft gasta más atendiendo llamadas de sus usuarios con problemas, que produciendo sus programas.",0
46,"Aunque ustedes no lo crean, se necesita ser muy inteligente para escribir tanta pendejada. O_o",0
47,Yo también acabo riéndome cuando intento hacerme el dormido.,1
48,"Los hombres son excelentes cocineros. Con 2 huevos, 1 salchicha y un poco de leche, llenan la panza de una mujer por 9 meses by @edwinxs",1
49,Típico : Leer el mismo mensajes miles de veces y aun no saber que contestar.,0
50,"De niños todos éramos amigos, hasta que llegaba la hora de la piñata.",0
51,—Antes de fusilarlo ¿quiere decir algo? —Sí. Algo ¡JAJAJÁ! —¿Divertido? —Vertido ¡JAJAJAJAJÁ! —¡DISPAREEEN! —¡SPAREEEN! ¡JAJAJAJAJAJÁ!,1
52,"No estoy en contra de que haya mujeres feas, pero ¿por qué todas viven en esta cuidad?   ",1
53,"—¿Eres un Pokémon? —No, ¿por qué? —Pokéstasmuybuena —¿Eres soltero y virgen, verdad? —Y maestro Pokémon también.",1
54,"—¿Te pusieron brackets? —NOOO PENDEJO, vino MTV y me enchulo la boca. JaaJaa",1
55,Típico: Salir de casa sin peinarte y sonreír porque sabes que igual eres guapo.,0
56,"- ¿Cómo van los estudios? - ¿Podemos hablar de otra cosa? -Ok, ¿y el novio? -Bueno los profesores no son muy buenos que digamos…",1
57,"Tras revisar al esposo, el Dr dice a la mujer: -El aspecto de su marido no me gusta -A mi tampoco pero es bueno con mis hijos!",1
58,Todos los días me levanto con más sueño que cuando me fui a dormir,1
59,"Si el físico no importa, ¿Por que tomaron enserio a Newton?",1
60,"-Hola, ¿con la fabrica de fieles? -Si -Hagan más, porque ya quedamos pocos",1
61,—¿No te cansas de dormir? —Ni que durmiera corriendo.,1
62,Típico: Te levantas de noche para ir al baño y corres lo más veloz que puedes para que el fantasma no te alcance :(,1
63,"Colombia, No voten por pesar, o por que los haga reir, Voten Por que su conciencia lo diga, Mateo Tiene talento por favor Oscar a el 6565",0
64,—Tengo frío. —Pero si es verano. —Pero hace frío... —Pero si hace 40 grados. —¡ABRÁZAME IDIOTA!,1
